ITEM,EMISSIONS_FACTOR
"abondance cheese, from cow's milk",3.299
agave,0.699
"aioli sauce (garlic and olive oil mayonnaise), prepacked",3.988
"ajvar, relish",3.020
"alaska pollock, smoked",9.129
"albacore, in olive oil, canned, drained",9.782
"albacore, raw",2.622
"alcoholic soda, 4%",1.153
"alfalfa seeds, sprouted, raw",1.735
alfonsino,3.562
alkaline water,0.608
almond,4.585
almond cake,4.420
almond covered with chocolate,3.190
almond drink,2.577
almond milk,1.771
almond paste,1.708
"almond, (with peel)",3.238
"almond, grilled, salted",2.218
"almond, peeled, unpeeled or blanched",6.499
"almondmilk, unfortified",3.424
almonds (kernel),5.685
"almonds, sliced, blanched",3.015
"amaranth, raw",1.312
"american bass, raw",8.631
american inspired cookie,2.679
"american or canadian sea scallop, without coral, raw",7.692
"american-style sauce, prepacked",6.888
anchovy,0.888
"anchovy, fillets, in oil, semi-preserved, drained",1.902
"anchovy, fillets, rolled with capers, semi-preserved, drained",2.920
"anchovy, in salt (semi-preserved)",3.598
"anglerfish, grilled",10.828
"anise, badian, fennel, coriander",1.093
apple,0.900
"apple (organic), average",0.507
"apple and spinach, blended",0.393
apple cider vinegar,0.819
apple compote,1.228
apple crumble,3.415
apple juice,0.821
apple juice (i),3.934
"apple juice, canned or bottled",1.884
"apple juice, pure juice",1.555
apple pie,2.952
"apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",4.730
apple tart,3.432
apple turnover,1.218
"apple, average",1.599
"apple, canada, pulp, raw",0.051
"apple, dried",1.278
"apple, from new zealand",2.043
"apple, green",0.786
"apple, pulp and peel, raw",2.229
"apple, pulp, raw",0.230
"apple, pulp, roasted/baked",1.936
"apple, regional in april",2.299
"apple, regional in autumn",1.072
apples,0.811
"apples, whole fruit",0.402
apricot,0.202
"apricot, canned in light syrup, drained",0.690
"apricot, canned in light syrup, not drained",0.596
"apricot, dried",3.647
"apricot, in syrup, canned, drained",1.461
"apricot, in syrup, canned, not drained",0.835
"apricot, pitted, dried",1.202
"apricot, pitted, raw",0.495
"apricot, raw",2.115
apricots tart,2.196
"apricots, dried",0.538
"aromatic stock cube, for fish, dehydrated",6.935
artichoke,0.839
"artichoke base, canned, drained",0.088
"artichoke base, frozen, raw",0.791
"artichoke, canned, drained",2.502
"artichoke, globe, cooked",2.097
"artichoke, globe, raw",1.720
"artichoke, heart, canned, drained",2.067
"artichoke, raw",1.308
artichokes,0.901
"arugula salad, rinsed",1.792
"asian noodles, flavoured, cooked",2.215
"asian noodles, flavoured, dehydrated",5.787
"asian noodles, plain, cooked, unsalted",1.562
asparagus,2.050
asparagus slices,0.467
"asparagus, boiled/cooked in water",1.053
"asparagus, canned, drained",1.851
"asparagus, green, raw",2.156
"asparagus, peeled, raw",1.244
"asparagus, white or purple, peeled, raw",2.948
"atlantic bass, raw",0.844
"atlantic chub mackerel, raw",1.513
"atlantic cod, fillets, frozen",7.139
"atlantic cod, fresh, whole fish",5.970
"atlantic halibut, raw",2.153
"atlantic herring, fillets, pickled",4.657
"atlantic herring, fresh, whole fish",0.622
"atlantic herring, fried",1.537
"atlantic herring, grilled/pan-fried",1.269
"atlantic herring, lean, raw",0.951
"atlantic herring, marinated, or rollmops",2.426
"atlantic herring, oily, raw",1.703
"atlantic herring, raw",3.287
"atlantic herring, smoked, fillet",0.820
"atlantic herring, smoked, in oil",0.664
"atlantic herring, smoked, plain",0.741
"atlantic wakame (alaria esculenta), dried or dehydrated",6.474
"aubergine, raw",0.935
"auvergne blue cheese, from cow's milk",2.300
avocado,0.244
avocado (i),0.334
"avocado (organic), from peru",1.336
"avocado, average",1.851
"avocado, from peru",1.416
"avocado, pulp, raw",2.176
"avocado, raw",1.131
azuki bean flour,0.566
baby corn,0.371
baby food jar with banana,0.628
"baby food jar with vegetables and starch, from 4-6 months",2.390
"baby food jar with vegetables, from 4-6 months",1.314
baby food jar without banana,1.161
"baby milk, first age, powder",10.214
"baby milk, first milk, ready to feed",0.593
"baby milk, follow on milk, ready to feed",1.242
"baby milk, growing up milk, ready to feed",1.148
"baby milk, second age, powder",5.647
baby spinach,0.341
bacon cubes,5.767
"bacon, back",6.211
"bacon, cooked",2.149
"bacon, frying, raw",4.759
bagel,1.020
baked alaska,2.805
"baker's yeast, compressed",5.104
"baker's yeast, dehydrated",4.657
baking powder or raising agent,0.180
baklava (oriental pastry with almonds and syrup),1.302
balanced prunes & apples,1.828
bambara beans,1.138
"bamboo shoots, canned, drained",1.085
"bamboo shoots, canned, nonsalted",2.028
"bamboo shoots, raw",1.380
bamnut milk - airy,2.617
bamnut milk - barista,0.618
banana,0.234
banana (i),1.901
"banana, pulp, dried",1.595
"banana, pulp, raw",0.600
"banana, raw",3.665
bananas,2.660
"bananas, whole fruit",1.516
"barbecue sauce, prepacked",0.791
barley,0.671
barley flour,1.441
"barley groats, raw",0.965
"barley, whole, raw",1.614
"basil, dried",1.852
"basil, fresh",0.988
"basmati rice, raw",2.276
"basque cake (shortbread), with cherries",2.520
"basque cake (shortbread), with custard",1.967
"basque-style sauce or tomato sauce with sweet peppers, prepacked",1.845
"bay, leaves",0.705
"bayonne cured ham, raw, smoked",10.972
bean,0.651
"bean sprouts, average values, raw",3.924
"bean sprouts, mung, raw",1.010
beans in can,2.911
"beans, baked i tomato sauce, canned",0.752
"beans, dry",1.780
"beans, fresh",1.189
"beans, green, raw",0.634
"beans, in can",1.287
"beans, mung, mature, seeds, dry",0.984
"beans, soy, dried, raw",1.868
"beans, wax, raw",0.484
"bearnaise sauce, prepacked",3.582
"bechamel sauce, prepacked",1.403
beef,103.950
beef (average),4.341
beef (organic),2.429
"beef meatballs, raw",17.082
beef on skewer,30.429
"beef patty, frozen",7.731
beef stew with carrots,20.164
"beef, average",1.985
"beef, bolar-blade, raw",7.692
"beef, braised",42.772
"beef, cheek, braised or boiled",29.948
"beef, cheek, raw",23.269
"beef, chuck eye steak",12.217
"beef, chuck, braised or boiled",6.426
"beef, chuck, raw",5.654
"beef, fillet, defatted, raw",61.397
"beef, flank steak",22.318
"beef, flank steak, grilled/pan-fried",35.576
"beef, flank steak, raw",19.972
"beef, hanger steak, grilled",24.959
"beef, hanger steak, raw",26.902
"beef, knuckle, boiled/cooked in water",3.448
"beef, knuckle, raw",28.783
"beef, low fat",7.207
"beef, meat balls, cooked",33.784
"beef, mince, 10-15% fat, raw",11.098
"beef, mince, 15-20% fat, raw",31.947
"beef, mince, 5-10% fat, raw",28.337
"beef, minced steak, 10% fat, cooked",35.009
"beef, minced steak, 10% fat, raw",40.719
"beef, minced steak, 15% fat, cooked",26.126
"beef, minced steak, 15% fat, raw",7.596
"beef, minced steak, 20% fat, cooked",1.501
"beef, minced steak, 20% fat, raw",34.693
"beef, minced steak, 5% fat, cooked",45.669
"beef, minced steak, 5% fat, raw",22.925
"beef, neck, braised",25.851
"beef, oxtail, boiled/cooked in water",17.329
"beef, rib steak, lean, grilled/pan-fried",17.738
"beef, rib steak, raw",8.537
"beef, rib, raw",30.959
"beef, ribeye roast, boneless",32.700
"beef, roast beef, roasted/baked",33.460
"beef, round, cooked",31.261
"beef, round, raw",3.463
"beef, rump steak, grilled",30.576
"beef, rump steak, raw",35.511
"beef, rump, raw",23.434
"beef, short ribs, braised",30.924
"beef, short ribs, raw",2.007
"beef, shoulder, raw",7.731
"beef, sirloin steak, grilled/pan-fried",41.239
"beef, sirloin steak, raw",17.582
"beef, sirloin steak, red label, raw",11.520
"beef, sirloin steak, roasted/baked",24.588
"beef, steak or beef steak, grilled",43.588
"beef, steak or beef steak, raw",15.242
"beef, stewing meat, cooked",34.151
"beef, stewing meat, raw",28.318
"beef, t-bone steak, raw",23.651
"beef, tenderloin steak (filet mignon)",41.963
"beef, thin flank, raw",16.832
"beef, top sirloin",25.319
"beef, topside, cap off, raw",28.480
"beef, topside, grilled/pan-fried",7.393
"beef, topside, raw",9.501
"beef, topside, roasted/baked",29.248
beer in can,0.516
beer in glass,2.034
beer modular can,0.886
beer sausage,5.793
"beer, 0.5 l returnable glass bottle",1.332
"beer, 33 cl glass bottle",3.364
"beer, 50 cl pet bottle",2.848
"beer, alcohol-free (<1,2Â¬âˆž alcohol)",1.029
"beer, danish household, low alcohol",2.002
"beer, dark",1.294
"beer, lager, alc. 4.4 % by vol.",0.471
"beer, low alcohol-content (3Â¬âˆž alcohol)",1.957
"beer, regular (4-5Â¬âˆž alcohol)",1.041
"beer, special (5-6Â¬âˆž alcohol)",0.597
"beer, strong (>8Â¬âˆž alcohol)",0.697
"beer, strong, alc. 7.6 % by vol.",1.359
beet sugar,1.565
"beet, red, canned",2.431
beetroot,0.223
beetroot juice,1.526
"beetroot, cooked",2.731
"beetroot, fresh",0.590
"beetroot, in glass jar",2.657
"beetroot, raw",2.849
bell pepper,0.848
"bell peppers, fresh",1.070
berries,0.695
"berries, fresh",1.317
"berries, frozen",1.939
beverage crops,4.036
"big-scale sand smelt (whole small fish), to fry, raw",0.254
"biscuit ( puff pastry), palmier, from bakery",5.256
biscuit (cookie),4.033
biscuit (cookie) filled with fruit paste or fruit puree,1.029
"biscuit (cookie) filled with fruits, reduced fat",3.743
"biscuit (cookie) with fruits, reduced salt",3.327
biscuit (cookie) with nuts (no chocolate or lightly chocolate-flavoured),1.325
"biscuit (cookie), assortment of miniature sweets and biscuits",2.194
"biscuit (cookie), cat tongue type",1.398
"biscuit (cookie), chocolate covering",6.736
"biscuit (cookie), covering with a chocolate bar",3.692
"biscuit (cookie), plain",3.285
"biscuit (cookie), reduced sugar",1.753
"biscuit (cookie), snack w chocolate filling",0.605
"biscuit (cookie), snack with dairy or vanilla filling",3.855
"biscuit (cookie), snack with fruits filling",3.290
"biscuit (cookie), sponge fingers or lady fingers",1.559
"biscuit (cookie), thin, w almonds",3.990
"biscuit (cookie), thin, w fruits",1.722
"biscuit (cookie), with chocolate drops",3.958
"biscuit (cookie), with chocolate, prepacked",4.647
"biscuit (cookie), with milk",3.614
"biscuit (cookie), with vegetal fat",2.813
"biscuit (small tart), with chocolate, pre-packed",7.608
"biscuit (small tart), with fruit covering",3.063
"biscuit bar filled with fruits, reduced fat",3.747
biscuit for baby,3.500
biscuit puff pastry,2.144
"biscuit shortbread, with butter",2.081
"biscuit shortbread, with butter and chocolate",4.322
"biscuit shortbread, with chocolate, pre-packed",7.619
"biscuit shortbread, with fruits",3.396
"biscuit sponge cake with fruits covering, pre-packed",4.128
"biscuit sponge cake, with chocolate, pre-packed",7.258
"biscuit, extruded and grilled, chocolate filling",1.550
"biscuit, extruded and grilled, fruits filling",0.548
"biscuit, sweet",1.343
"biscuit, wholemeal, digestive type",2.433
"bitter, gammel dansk bitter dram",2.131
black beans,1.426
"black beans, brined",0.708
"black currant, raw",1.375
"black mulberry, raw",1.942
"black olives, sliced",0.924
black pepper,1.236
"black pepper, ground",3.511
"black pepper, powder",3.076
"black pudding (blood sausage), refrigerated",7.562
"black pudding (blood sausage), sautâˆšÂ©ed/pan-fried",8.274
