ITEM DESCRIPTION,LABELS
BEANCURD TAU KUA (2PCS),"tofu | tofu, firm | tofu, plain | tofu, soy bean curd"
TURBOBLEACH 5L (401),Bleach
Sing Ghee Tau Kwa,"tofu | tofu, firm | tofu, plain | tofu, soy bean curd"
[ CHILL ] Kimchi,"white cabbage| white cabbage, raw | cabbage | chilli"
Scissor,Office Stationary | Stationary
[Hey-Chill] Pao 50g,burger buns
GFP  Karana Masak Merah,"plant protein patty, baked and fried"
GFP Karana Buah Keluak,"plant protein patty, baked and fried"
GFP Sambazon Acai,acai berry
GFP Beyond Mala,"black pepper, ground | black pepper, powder | chilli | dry peppers, pimento or chilli"
GFP Tindle Katsu,"plant protein patty, baked and fried | curry powder | curry sauce, prepacked"
GFP Fable Rendang,"plant protein patty, baked and fried | coconut"
GFP Teriyaki Fable Chix,"plant protein patty, baked and fried | soy sauce, glass bottle | soy sauce, prepacked"
kizami Takuwan,"radish | radish, pickled"
YAKI NORI FULL A+,"seaweed, agar, raw"
SAKURA DENBU,"cod (f) | whitefish, raw"
Kimchi,"white cabbage| white cabbage, raw | cabbage | chilli"
TP JRT SCOTT A2 2PLY 200MM X 16,"seaweed, agar, raw"
Kizami Ippon (Shredded Takuan),"radish | radish, pickled"
Alchemy Fiber Rise (R500c),"basmati rice, raw | brown rice flour, consumer package | rice | wild rice, raw"
Shicimi Tongarashi,"seaweed, agar, raw | chilli | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted"
FURIKAKE Okaka,"seaweed, agar, raw | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted | cane sugar | table salt"
Kani Fumi,"crab claws, meat, raw | crab, boiled"
kizami nori,"seaweed, agar, raw"
[KNORR] HAO CHI ALL-IN-ONE SEASONING,cane sugar | table salt | corn flour | dry onion | garlic
Multi Purpose Cleaner: ECO-CLEAN ELITE 257,Multipurpose cleaner
GFP  Karana Jackfruit Meatballs,"plant protein patty, baked and fried"
Goji Berries,other berries
[Kitchen Use: Blue Cloth] WYPALL *X80 BLUE WIPER,Wypall *X Wiper
[Kitchen Use: Thrash Bag Large (36 x 48)] 030 Black Thrash Bag,Trash Bag
[Kitchen Use: Thrash Bag Medium (30 x 40)] 030 Black Thrash Bag,Trash Bag
[ BOOSTER ] Green Booster 50ml,"apple | apple and spinach, blended | apple, green | kale, fresh | spinach"
[ BOOSTER ] Turmeric Booster 50ml,"ginger | honey | turmeric, powder"
[CHILL/FROZEN] SELVA ACAI (SWEETNED),acai berry
Pea Sprouts,"bean sprouts, mung, raw | lentils, sprouted"
[ COOKED ITEM ]  Herbed Fable,"plant protein patty, baked and fried | provence herbs, dried"
[COOKED ITEM] Teriyaki Fable,"plant protein patty, baked and fried | soy sauce, glass bottle | soy sauce, prepacked"
(SS) Energy Pack-30g,"dry broad beans | edamame beans | honey | sugar, brown | sunflower seed"
(SS) Omega 3 Mix-30g,"almond | brazil nuts | peanut, grilled, salted | pecan nut, salted"
[ Frozen ] Sambazon Acai Original  (SWT),acai berry
[DRY ITEM] Furikake,"seaweed, agar, raw | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted | cane sugar | table salt"
[PASTRY] Vegan Choco Pear Loaf,"coconut | milk chocolate | oat milk cream | pear | wheat flour, consumer package"
[FROZEN] Organic Acai with Guarana 100g,acai berry
"Masking tape 2"" (pk/6)",PVC Embossed Tape
Nissho Double-sided EVA Foam Tape,PVC Embossed Tape
Pk8 batteries AA,generic battery
Scotch tape,Packaging Scotch Tape
Grain Bowl Lids T,"PP plastic container lid, 2oz | PET plastic lid, large | Bagasse bowl lid"
Grain Bowl T,"PET plastic bowl, large | Bagasse bowl | PET bowl"
[DRESSING ] Yuzu Soy,"soy sauce, glass bottle | soy sauce, prepacked"
"SIGNATURE TORTILLA TOMATO 12""","corn tortilla wrap, to be filled | tortilla, wheat | wheat tortilla wrap, to be filled"
[Serviette] 33x21CM NAPKIN SCOTT LUNCHEON (WHITE) 1 PLY 36261 6000PCS(250x24S),tesco toilet tissue (Blue)
[DRY ITEM] Goji Berries,other berries
(SS) Trail Mix -30gm,mix of unsalted grains/nuts and raisins
[Wrap Paper for Normal Wraps] SALAD STOP GP WRAP (2K),"Deli wrap, waxed"
[ FRESH ] Blue Pea Flower,"tea, leaves"
[ FRESH ] Tatsoi ( Bak Choy)500gm,leafy or stem vegetables | other vegetables
[Fresh] Pea Sprout 500gm,"bean sprouts, average values, raw"
[DRESSING] Cashew nut and mint dressing ( Vegan),"salad dressing, prepacked"
"Mop Head ""Normal""",Wooden mop stick | Broom head
Mirancho Brand 12inch Plain,"corn tortilla wrap, to be filled"
[Soup Cup] 12oz SOUP CUP -SALAD STOP(500),"PP plastic container lid, 2oz | PET plastic lid, large"
[ DRY ITEM ]Cacao Nibs,cocoa
[Serviette] L1/30/33 QF SCOTT (100s*60p),tesco toilet tissue (Blue)
[COOKED ITEM] Karana Jackfruit Meatballs,"vegan balls, soy based"
[COOKED ITEM] Plant-Based Chicken,vegan fillet pieces
Jasmine Hibiscus kombucha,"still soft drink with tea extract, flavoured, with sugar"
[GnG Salad Bowl ] OP-LT-16 OPS L156*W129*H58 16OZ SALAD BOX (SET) rectangles,"PET plastic bowl, large | PP plastic container, 2oz"
Double sided tape 18mm,Packaging Scotch Tape | PVC Embossed Tape
10oz PLA Dessert Cup Printed,smoothie cup
Plateau Lid Dessert Cup,smoothie cup
16oz Round Cold Cup (smoosha),smoothie cup
SaladStop Paper bags with Handle,Paper Box
"3.5""X5.5"" ZIPBAG",HDPE plastic bag
[Kitchen Use: Thrash Bag Small (19 x 19)] 030 White Thrash Bag,Trash Bag
HAND KLEEN (Apple scent),Dish washing liquid
"[Yogurt / Smoothies Cup Lid]  FL92_PLATIC CLEAR FLAT LID FOR 12OZ CUP (CUP: HF92-12) 1,000 PCS/CS",smoothie cup lid
